Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type,soil_type,Wilderness
2826,330,14,60,10,1549,187,222,175,2563,2,20,3
3283,27,3,0,0,4401,218,232,151,3653,1,23,3
2923,60,12,268,63,3555,229,215,118,5196,2,29,1
3018,57,8,277,47,4391,226,223,132,900,1,19,1
2664,112,5,60,-8,1214,229,234,139,1719,5,20,3
2890,151,15,234,85,2604,238,239,126,1291,2,10,3
3411,200,19,437,76,2882,209,253,171,1613,1,32,3
3321,72,21,67,9,2282,238,196,79,2151,1,22,3
3033,241,19,384,67,1276,181,252,206,577,2,32,3
2710,102,19,255,78,2486,248,212,86,2259,3,10,3
3092,11,5,42,1,3937,215,230,152,1131,1,22,1
3498,19,14,631,150,4302,209,210,136,3411,7,39,3
2808,51,32,474,76,1053,217,155,50,2048,2,13,3
3110,58,10,30,-1,1702,228,218,123,256,1,23,1
2946,41,9,201,15,1956,221,221,134,886,2,31,3
2794,11,15,85,12,1106,203,209,141,3088,1,24,3
2423,276,36,60,28,339,105,222,243,319,3,10,3
2718,337,5,30,-4,1254,208,232,163,1956,1,20,1
2709,326,5,134,38,2096,207,234,166,4500,2,12,1
3250,253,15,228,32,3141,184,249,202,1167,1,31,3
2977,153,2,210,4,2546,222,239,153,1958,2,29,1
3187,162,14,752,251,1129,233,243,137,2221,2,33,3
2817,316,15,212,65,2542,181,227,186,1852,2,33,3
3224,14,19,175,44,1920,199,198,132,2040,2,33,3
3030,34,9,335,61,2182,219,221,137,2287,1,32,3
2988,118,11,0,0,4177,239,230,119,2311,2,29,1
2567,201,22,67,11,1312,205,253,173,1406,3,3,3
2929,62,8,162,33,4671,227,223,130,1761,2,29,1
3067,131,14,524,68,5440,242,231,115,3248,2,30,1
2992,42,6,313,34,3820,221,227,141,1426,2,29,1
3266,38,23,351,124,1429,213,182,93,2290,2,33,3
2480,118,10,182,26,242,238,231,122,1055,3,2,3
2420,222,32,0,0,1489,164,250,205,595,6,16,3
3039,118,12,210,2,912,241,229,116,1626,1,22,3
2968,31,19,700,149,1421,211,195,113,2700,2,33,3
2776,197,17,234,40,1101,213,252,168,592,2,34,3
2726,216,24,330,118,1793,189,254,191,1429,2,4,3
2921,130,18,108,29,3924,247,226,101,2560,2,29,1
3297,312,13,424,74,4220,185,230,185,1742,1,39,3
3367,79,5,451,45,1231,226,231,139,2461,7,32,3
3194,117,18,30,-5,4436,248,221,94,2106,1,23,1
3041,27,8,0,0,3548,217,222,141,1806,2,29,1
3064,22,5,67,0,3577,217,229,149,1614,2,23,1
3117,66,11,430,17,2012,231,217,117,1104,1,31,3
3269,81,6,180,18,847,229,229,134,2284,1,38,1
2955,71,10,270,29,5031,231,221,121,6423,2,20,1
3050,261,9,713,150,5850,198,245,186,4153,2,29,1
3052,286,4,30,4,2951,208,239,170,1518,1,20,3
3172,116,17,192,31,1869,247,221,96,1997,1,33,3
3163,317,10,942,-39,1376,194,231,178,1198,1,31,3
2929,58,10,646,71,1146,228,218,123,1507,2,32,3
2944,6,15,711,172,726,201,210,145,1215,1,24,3
2893,267,41,330,184,2467,89,219,249,797,2,13,3
2755,205,8,150,22,67,216,247,167,2188,2,10,3
2787,170,15,90,13,1110,230,245,143,960,3,2,3
3143,243,8,240,34,150,203,247,182,3156,2,23,3
3279,106,8,255,32,1570,233,231,130,2154,1,32,3
3167,276,14,450,50,815,181,242,200,1132,2,23,3
2792,181,22,90,14,3783,221,248,148,1316,2,30,1
2920,58,12,247,-7,819,228,214,117,2329,2,23,1
2879,338,4,0,0,3889,210,233,162,3876,2,23,1
3040,57,25,541,86,390,228,180,71,900,1,33,3
2815,60,18,60,7,1350,231,201,96,832,2,33,3
2681,338,19,85,30,283,174,209,172,721,2,29,1
3154,353,12,30,6,1471,200,219,157,2401,1,29,1
3037,171,10,797,33,5968,227,245,150,3972,2,29,1
2991,260,8,658,88,5885,200,245,183,3596,2,29,1
2846,74,21,60,50,4112,240,195,76,745,2,22,1
3098,43,9,750,44,2312,222,220,133,2312,1,32,3
3012,343,22,516,237,731,170,201,166,1358,2,33,3
2792,65,10,532,75,805,230,221,123,2535,2,29,1
2909,99,6,247,6,4761,230,232,136,4477,2,8,1
2965,341,23,646,49,5590,165,198,168,1837,2,29,1
2990,167,9,218,38,4276,228,244,147,2139,2,30,1
2968,216,9,150,22,3114,211,249,173,1237,2,13,3
3148,0,0,0,0,1463,218,237,156,641,1,35,3
3076,11,5,90,3,4687,215,230,152,3031,1,22,1
2953,324,15,150,48,418,180,223,182,1597,2,24,3
3295,24,16,752,92,1983,210,204,127,765,1,24,3
2609,119,15,124,19,1142,244,226,107,5311,2,29,1
2939,20,5,469,56,4175,217,229,150,5641,2,12,1
2838,94,9,67,-4,3054,235,226,122,2402,1,23,1
3102,93,14,361,-66,942,242,217,102,904,1,29,1
3100,43,12,730,2,1935,222,213,124,3194,1,31,3
2916,72,2,277,53,4031,222,234,149,5796,2,12,1
2621,198,12,382,1,1681,216,250,167,1871,3,2,3
2988,116,13,150,13,5131,242,227,111,6148,2,12,1
3216,161,17,430,2,693,235,242,132,2391,2,23,3
3203,122,30,306,166,3793,254,200,49,2741,1,33,3
3032,4,12,335,60,2307,204,218,150,2563,1,23,3
3070,162,19,85,16,3173,235,241,129,5713,1,29,1
3158,30,13,247,40,2721,216,212,130,1100,1,22,3
2786,221,21,319,87,3658,190,254,194,1786,2,13,3
3055,309,10,42,2,1652,192,233,182,1731,1,23,3
3247,117,19,30,9,4039,249,219,91,3393,7,22,3
2965,34,5,390,46,3673,219,228,146,5550,2,29,1
3640,48,26,1099,228,2568,219,173,73,1318,1,40,1
2747,97,8,60,6,2279,234,228,127,1471,2,12,1
2793,346,15,85,14,1024,189,214,163,2058,1,10,3
3248,290,13,553,153,5226,184,238,194,1950,1,29,1
2610,147,12,60,-14,2594,236,239,132,1939,2,11,3
2829,96,7,228,26,2176,232,230,131,1666,2,33,3
2835,63,9,30,-2,531,228,222,127,1182,2,32,3
2688,89,15,67,8,1861,241,215,100,1155,2,12,1
2615,20,13,0,0,1369,210,211,136,2458,2,16,1
2883,328,21,573,128,1182,165,211,183,1140,2,32,3
2903,126,14,201,51,2685,243,229,112,1991,2,29,1
2576,26,9,153,45,691,216,220,140,466,2,29,1
3004,326,13,170,49,2123,189,226,177,1106,2,29,1
